rep_id,doctor_id,doctor_name,specialty,visit_date,drug_detailed,follow_up,prescription_generated
REP001,DOC0089,Qadim Korpal,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0127,Ishani Khalsa,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0037,Damini Kapoor,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0052,Rudra Pathak,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0172,Anthony Dara,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0116,Ekaraj Sodhi,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0035,Devika Char,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0131,Jagvi Choudhry,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0178,Tara Bajaj,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0087,Xalak Lad,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0071,Unnati Grewal,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0193,Chandani Hegde,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0143,Om Dixit,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0120,Nachiket Chander,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0190,Dakshesh Purohit,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0065,Devansh Purohit,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0166,Yutika Sarin,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0147,Saanvi Wagle,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0042,Rishi Nagarajan,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0128,Bhanumati Bumb,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0004,Riya Radhakrishnan,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0081,Chaitanya Nayar,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0012,Rajata Randhawa,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0173,Gabriel Kant,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0021,Balvan Subramanian,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0009,Zansi Patel,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0067,Aadi Mittal,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0046,Divya Oak,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0149,Peter Verma,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0145,Vamakshi Prakash,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0017,Yatin Sehgal,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0137,Arunima Madan,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0005,Ekta Chhabra,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0054,Niharika Mammen,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0169,Banjeet Menon,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0099,Eshana Bhalla,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0183,Bhavna Hegde,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0018,Nakul Chandran,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0131,Jagvi Choudhry,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0081,Chaitanya Nayar,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0178,Tara Bajaj,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0089,Qadim Korpal,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0005,Ekta Chhabra,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0128,Bhanumati Bumb,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0147,Saanvi Wagle,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0071,Unnati Grewal,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0173,Gabriel Kant,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0042,Rishi Nagarajan,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0116,Ekaraj Sodhi,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0021,Balvan Subramanian,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0046,Divya Oak,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0190,Dakshesh Purohit,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0009,Zansi Patel,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0012,Rajata Randhawa,Cardiologist,2024-01,Cardivex,True,True
REP001,DOC0018,Nakul Chandran,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0087,Xalak Lad,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0145,Vamakshi Prakash,Cardiologist,2024-01,Cardivex,True,False
REP001,DOC0004,Riya Radhakrishnan,Cardiologist,2024-01,Cardivex,False,False
REP001,DOC0172,Anthony Dara,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0143,Om Dixit,Cardiologist,2024-01,Cardivex,False,True
REP001,DOC0067,Aadi Mittal,Cardiologist,2024-03,Cardivex,True,False
